model_seed,gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
1,0.1,10,200,0.1875,44.3924674987793,3.5,144,27,0
2,0.1,10,200,0.2310838445807771,28.33470344543457,13.66461320965606,978,226,0
3,0.1,10,200,0.2171945701357466,56.68120193481445,8.212915799067598,442,96,0
4,0.1,10,200,0.20039292730844793,45.51771545410156,7.54989226226418,509,102,0
5,0.1,10,200,0.251953125,104.05989074707031,16.20833333333333,1024,258,0
6,0.1,10,200,0.18042813455657492,29.318782806396484,4.8479777443084675,327,59,0
7,0.1,10,200,0.17485265225933203,47.09060287475586,5.62917603115979,509,89,0
8,0.1,10,200,0.2060546875,23.706043243408203,11.312499999999998,1024,211,0
9,0.1,10,200,0.2470703125,42.13816833496094,15.687499999999996,1024,253,0
10,0.1,10,200,0.205078125,40.650779724121094,11.20833333333333,1024,210,0
11,0.1,10,200,0.21814006888633755,62.06388854980469,11.622111630854604,871,190,0
12,0.1,10,200,0.24236252545824846,36.50350570678711,10.515142800072013,491,119,0
13,0.1,10,200,0.23046875,52.87277603149414,13.916666666666664,1024,236,0
14,0.1,10,200,0.20040485829959515,73.909912109375,10.519908081199524,988,198,0
15,0.1,10,200,0.17699115044247787,32.80411911010742,2.728090518312432,113,20,0
16,0.1,10,200,0.2109375,26.485193252563477,11.83333333333333,1024,216,0
17,0.1,10,200,0.2001953125,38.419193267822266,10.687499999999998,1024,205,0
18,0.1,10,200,0.23573573573573572,33.80103302001953,11.6764294916014,666,157,0
19,0.1,10,200,0.2451171875,52.80943298339844,15.479166666666664,1024,251,0
20,0.1,10,200,0.18006430868167203,46.92478942871094,4.706498210127064,311,56,0
21,0.1,10,200,0.2109375,46.656044006347656,11.83333333333333,1024,216,0
22,0.1,10,200,0.216796875,43.34507751464844,12.45833333333333,1024,222,0
23,0.1,10,200,0.19548872180451127,44.51445388793945,8.991502532640814,798,156,0
24,0.1,10,200,0.18786127167630057,47.05934524536133,5.447713749780766,346,65,0
25,0.1,10,200,0.23357664233576642,53.436607360839844,9.026724313105918,411,96,0
26,0.1,10,200,0.25668449197860965,40.12911605834961,12.370469695977949,561,144,0
27,0.1,10,200,0.2080078125,39.14682388305664,11.52083333333333,1024,213,0
28,0.1,10,200,0.203125,47.32938003540039,10.999999999999998,1024,208,0
29,0.1,10,200,0.2109375,21.186710357666016,11.83333333333333,1024,216,0
30,0.1,10,200,0.20270270270270271,36.0267219543457,5.889880363020176,296,60,0
31,0.1,10,200,0.2673716012084592,35.76436996459961,14.354547639413509,662,177,0
32,0.1,10,200,0.2314453125,42.186500549316406,14.02083333333333,1024,237,0
33,0.1,10,200,0.2509765625,36.091880798339844,16.104166666666664,1024,257,0
34,0.1,10,200,0.20704845814977973,72.44612121582031,10.752317647919545,908,188,0
35,0.1,10,200,0.2099609375,47.133544921875,11.729166666666664,1024,215,0
36,0.1,10,200,0.2737940026075619,74.57005310058594,16.043946780843342,767,210,0
37,0.1,10,200,0.2578947368421053,46.18076705932617,7.254762501100116,190,49,0
38,0.1,10,200,0.18888888888888888,45.49332809448242,6.885303726590963,540,102,0
39,0.1,10,200,0.2392578125,45.95622253417969,14.854166666666664,1024,245,0
40,0.1,10,200,0.1686746987951807,52.67958068847656,2.9493719976840644,166,28,0
41,0.1,10,200,0.205078125,58.8513069152832,11.20833333333333,1024,210,0
42,0.1,10,200,0.20066889632107024,32.86974334716797,5.802426484061277,299,60,0
43,0.1,10,200,0.2638731596828992,55.8049201965332,16.231809033881422,883,233,0
44,0.1,10,200,0.19921875,46.01584243774414,10.58333333333333,1024,204,0
45,0.1,10,200,0.19321148825065274,50.00531768798828,6.080615950660391,383,74,0
46,0.1,10,200,0.2451171875,43.095176696777344,15.479166666666664,1024,251,0
47,0.1,10,200,0.2216796875,33.00687026977539,12.979166666666664,1024,227,0
48,0.1,10,200,0.24064171122994651,31.443763732910156,12.82164316969569,748,180,0
49,0.1,10,200,0.263671875,42.77884292602539,17.45833333333333,1024,270,0
50,0.1,10,200,0.23378582202111614,50.58883285522461,11.482741839276793,663,155,0
