model_seed,gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
31,0.1,4,500,0.17177914110429449,31.736942291259766,4.3200204498493475,326,56,0
32,0.1,4,500,0.169921875,35.816654205322266,7.458333333333331,1024,174,0
33,0.1,4,500,0.19927536231884058,36.75733184814453,5.497620624250127,276,55,0
34,0.1,4,500,0.1377049180327869,46.5799560546875,2.194960281536495,305,42,0
35,0.1,4,500,0.18248175182481752,48.245887756347656,7.195846779066527,685,125,0
36,0.1,4,500,0.2170418006430868,39.038482666015625,9.730046869144122,622,135,0
37,0.1,4,500,0.1962890625,36.65837478637695,10.27083333333333,1024,201,0
38,0.1,4,500,0.19524617996604415,52.894386291503906,7.705200766073577,589,115,0
39,0.1,4,500,0.2111344537815126,41.04789352416992,11.429992325303164,952,201,0
40,0.1,4,500,0.20275344180225283,38.30532455444336,9.681630700550027,799,162,0
41,0.1,4,500,0.2087227414330218,55.45344924926758,9.182620874979552,642,134,0
42,0.1,4,500,0.1895910780669145,50.54454040527344,4.898009778825862,269,51,0
43,0.1,4,500,0.203125,28.17032814025879,10.999999999999998,1024,208,0
44,0.1,4,500,0.22105263157894736,35.69126892089844,3.932917016326424,95,21,0
45,0.1,4,500,0.169921875,51.03704833984375,7.458333333333331,1024,174,0
46,0.1,4,500,0.1787109375,25.189388275146484,8.395833333333332,1024,183,0
47,0.1,4,500,0.19576719576719576,24.61185073852539,4.38860423696829,189,37,0
48,0.1,4,500,0.16906474820143885,25.97787094116211,3.8384649209860298,278,47,0
49,0.1,4,500,0.1875,21.058883666992188,9.333333333333332,1024,192,0
50,0.1,4,500,0.1911504424778761,34.490238189697266,7.222070946150357,565,108,0
51,0.1,4,500,0.17378048780487804,34.48200225830078,4.454071551685476,328,57,0
52,0.1,4,500,0.23046875,34.322059631347656,13.916666666666664,1024,236,0
53,0.1,4,500,0.2294921875,42.90749740600586,13.812499999999998,1024,235,0
54,0.1,4,500,0.2222222222222222,49.92731475830078,1.7284832429004497,18,4,0
55,0.1,4,500,0.20559610705596107,36.11904525756836,10.091658872805919,822,169,0
56,0.1,4,500,0.14634146341463414,45.83207321166992,0.9891004919611714,41,6,0
57,0.1,4,500,0.2060546875,74.738037109375,11.312499999999998,1024,211,0
58,0.1,4,500,0.1953125,41.23761749267578,10.166666666666664,1024,200,0
59,0.1,4,500,0.177734375,26.332733154296875,8.291666666666664,1024,182,0
60,0.1,4,500,0.17320261437908496,28.555084228515625,6.0364422231265085,612,106,0
