model_seed,gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
1,0.1,5,400,0.14173228346456693,40.7500114440918,2.2170105114881595,254,36,0
2,0.1,5,400,0.198435972629521,24.213253021240234,10.494708954618122,1023,203,0
3,0.1,5,400,0.20335195530726258,37.78211975097656,10.306446669666832,895,182,0
4,0.1,5,400,0.2146341463414634,40.733943939208984,9.476114602909764,615,132,0
5,0.1,5,400,0.20703125,66.2103500366211,11.416666666666664,1024,212,0
6,0.1,5,400,0.2158203125,30.00662612915039,12.354166666666664,1024,221,0
7,0.1,5,400,0.2177734375,34.89216613769531,12.562499999999998,1024,223,0
8,0.1,5,400,0.2099609375,23.05649757385254,11.729166666666664,1024,215,0
9,0.1,5,400,0.2294921875,47.42085647583008,13.812499999999998,1024,235,0
10,0.1,5,400,0.20408163265306123,39.86423873901367,3.4345186514775166,98,20,0
11,0.1,5,400,0.2158203125,35.1724739074707,12.354166666666664,1024,221,0
12,0.1,5,400,0.19136960600375236,32.78591537475586,7.03143719494634,533,102,0
13,0.1,5,400,0.1865234375,28.848451614379883,9.229166666666664,1024,191,0
14,0.1,5,400,0.17647058823529413,51.74404525756836,3.9324359228831303,238,42,0
15,0.1,5,400,0.21357285429141717,46.41983413696289,11.983595647737818,1002,214,0
16,0.1,5,400,0.20047169811320756,38.89463806152344,6.8961296227365745,424,85,0
17,0.1,5,400,0.177734375,33.66445541381836,8.291666666666664,1024,182,0
18,0.1,5,400,0.20215633423180593,38.728912353515625,9.275685140774652,742,150,0
19,0.1,5,400,0.2236328125,31.619718551635742,13.187499999999998,1024,229,0
20,0.1,5,400,0.2041015625,35.99833679199219,11.104166666666664,1024,209,0
21,0.1,5,400,0.2255859375,31.581527709960938,13.39583333333333,1024,231,0
22,0.1,5,400,0.1923828125,35.029930114746094,9.854166666666664,1024,197,0
23,0.1,5,400,0.236328125,35.1792106628418,14.541666666666664,1024,242,0
24,0.1,5,400,0.22641509433962265,32.812137603759766,6.135438523041442,212,48,0
25,0.1,5,400,0.16049382716049382,63.6277961730957,1.8148148148148149,81,13,0
26,0.1,5,400,0.19140625,48.61883544921875,9.749999999999998,1024,196,0
27,0.1,5,400,0.19630484988452657,43.88068771362305,6.679913705517755,433,85,0
28,0.1,5,400,0.20205920205920205,46.124969482421875,9.482905510733348,777,157,0
29,0.1,5,400,0.185546875,25.75088119506836,9.124999999999998,1024,190,0
30,0.1,5,400,0.20270270270270271,28.73409652709961,7.213600767718991,444,90,0
