model_seed,gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
1,0.05,5,350,0.076171875,33.0660285949707,3.8427135423319094,1024,78,0
2,0.05,5,350,0.1162109375,28.28743553161621,9.721491722765055,1024,119,0
3,0.05,5,350,0.08071748878923767,37.53415298461914,4.209410992238856,892,72,0
4,0.05,5,350,0.1054945054945055,37.422218322753906,5.431363623943833,455,48,0
5,0.05,5,350,0.11328125,49.02922439575195,9.291337221757752,1024,116,0
6,0.05,5,350,0.0966796875,24.335613250732422,6.853795049383033,1024,99,0
7,0.05,5,350,0.1064453125,39.47700119018555,8.287643386074043,1024,109,0
8,0.05,5,350,0.09375,21.87769889831543,6.4236405483757295,1024,96,0
9,0.05,5,350,0.1015625,43.696868896484375,7.570719217728539,1024,104,0
10,0.05,5,350,0.09183673469387756,42.32923126220703,1.9003080761032183,98,9,0
11,0.05,5,350,0.1015625,27.89525604248047,7.570719217728539,1024,104,0
12,0.05,5,350,0.058823529411764705,26.81926918029785,0.47213368521877996,136,8,0
13,0.05,5,350,0.0966796875,30.610849380493164,6.853795049383033,1024,99,0
14,0.05,5,350,0.109375,45.48305892944336,8.717797887081348,1024,112,0
15,0.05,5,350,0.0986328125,54.5086784362793,7.140564716721235,1024,101,0
16,0.05,5,350,0.087890625,39.532508850097656,5.563331546361122,1024,90,0
17,0.05,5,350,0.0859375,44.00050735473633,5.27656187902292,1024,88,0
18,0.05,5,350,0.09411764705882353,30.340370178222656,1.8662722567253984,85,8,0
19,0.05,5,350,0.08516886930983847,45.93037033081055,4.210999181268606,681,58,0
20,0.05,5,350,0.095703125,34.84640121459961,6.710410215713932,1024,98,0
21,0.05,5,350,0.0546448087431694,42.73690414428711,0.2883012836269135,183,10,0
22,0.05,5,350,0.0947265625,25.728052139282227,6.5670253820448306,1024,97,0
23,0.05,5,350,0.08879492600422834,51.919410705566406,5.4748684855248575,946,84,0
24,0.05,5,350,0.08943089430894309,29.373798370361328,4.914937541799957,738,66,0
25,0.05,5,350,0.1196319018404908,30.98317527770996,5.768597698390542,326,39,0
26,0.05,5,350,0.1028225806451613,54.13779830932617,5.397760964468656,496,51,0
27,0.05,5,350,0.06806282722513089,48.878509521484375,1.1453958536745144,191,13,0
28,0.05,5,350,0.0712890625,32.89585494995117,3.1257893739864038,1024,73,0
29,0.05,5,350,0.1123046875,23.62827491760254,9.147952388088651,1024,115,0
30,0.05,5,350,0.09523809523809523,27.115488052368164,3.2950178841916555,252,24,0
