gamma,amplification,step_to_watermark,max_match_percent,perplexity,z_score,actual_length_used,max_num_matches,best_start
0.5,10000,0,0.748046875,2398.3447265625,15.875,1024,766,0
0.5,10000,100,0.7438423645320197,2459.695068359375,6.948437822801605,203,151,0
0.5,10000,200,0.7744140625,2541.865234375,17.5625,1024,793,0
0.5,10000,300,0.7684729064039408,2416.974365234375,7.650300229145201,203,156,0
0.5,10000,400,0.7998046875,2647.911376953125,19.1875,1024,819,0
0.5,10000,500,0.7,2397.513427734375,1.7888543819998317,20,14,0
0.5,10000,600,0.814453125,2477.700927734375,20.125,1024,834,0
0.5,10000,700,0.8275862068965517,2522.55322265625,9.334770004369833,203,168,0
0.5,10000,800,0.8740234375,2801.329833984375,23.9375,1024,895,0
0.5,10000,900,0.75,2516.68896484375,2.23606797749979,20,15,0
0.5,10000,1000,0.9140625,2575.464111328125,26.5,1024,936,0
